Basin,Stem,Station,Date---,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
1,1,3,940825,wtsuck,152.0,152,152,Crookfall Brk/Old Smithfield Rd,North Smithfield/Lincoln Town Line,41.955833,-71.485833,,,,,,,
1,1,4,931028,brktrt,115.0,115,115,Crookfall Brk/below Res #2/Rt99,North Smithfield/Lincoln town line,41.97169436,-71.48719146,,,,,,,
1,1,5,940824,brbull,116.5,105,131,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,5,940824,crkchbskr,97.0,55,143,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,5,940824,fllfsh,94.0,94,94,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,5,940824,fllfsh,131.7,93,208,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,5,940824,gldshnr,98.0,89,105,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,5,940824,lepomis,0.0,0,0,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,5,940824,yperch,103.8,102,105,Crookfall Brk/Reservoir Rd,North Smithfield/Lincoln Town Line,41.942972,-71.491417,,,,,,,
1,1,6,940823,fllfsh,69.8,38,83,Crookfall Brk/Sayles Hill Rd,North Smithfield/Lincoln Town Line,41.963559,-71.48741395,,,,,,,
1,1,6,940823,tssdtr,45.0,27,63,Crookfall Brk/Sayles Hill Rd,North Smithfield/Lincoln Town Line,41.963559,-71.48741395,,,,,,,
1,1,6,940823,wtsuck,111.5,58,165,Crookfall Brk/Sayles Hill Rd,North Smithfield/Lincoln Town Line,41.963559,-71.48741395,,,,,,,
1,1,7,940826,fllfsh,76.0,30,148,Crookfall Brk/Old Sayles Hill Rd,North Smithfield/Lincoln Town Line,41.95196062,-71.48747775,,,,,,,
1,1,8,940817,ylbull,32.0,32,32,Cherry Brk/Alice Ave,Woonsocket,41.99288947,-71.5317523,,,,,,,
1,1,9,940823,gldshnr,29.0,28,30,Spring Brk/Old Smithfield Rd,North Smithfield,41.966139,-71.493667,,,,,,,
1,1,10,940927,blkndce,40.7,22,70,Monastery Brk/Mendon Rd,Cumberland,41.9223783,-71.41465287,,,,,,,
1,1,10,940927,pmpknsd,75.0,75,75,Monastery Brk/Mendon Rd,Cumberland,41.9223783,-71.41465287,,,,,,,
1,1,10,940927,wtsuck,68.0,68,68,Monastery Brk/Mendon Rd,Cumberland,41.9223783,-71.41465287,,,,,,,
1,1,11,940928,brbull,83.0,75,91,Mussey Brk/River Rd,Lincoln,41.957083,-71.463278,,,,,,,
1,1,11,940928,fllfsh,75.0,75,75,Mussey Brk/River Rd,Lincoln,41.957083,-71.463278,,,,,,,
1,1,11,940928,pmpknsd,105.0,105,105,Mussey Brk/River Rd,Lincoln,41.957083,-71.463278,,,,,,,
1,1,12,941006,No fish,-,-,-,Trib/Gadoury Blvd,Woonsocket,41.98675537,-71.49726511,,,,,,,
1,1,13,950504,ambklmp,165.0,165,165,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,blgl,137.8,57,176,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,blkcrp,172.3,143,210,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,brbull,213.9,172,290,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,carp,276.0,102,450,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,chnpick,342.0,342,342,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,cmnshnr,120.4,60,174,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,eel,305.0,305,305,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,fllfsh,155.5,119,336,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,gldshnr,137.0,133,141,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,lmb,188.5,93,339,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,pmpknsd,140.7,64,174,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,smb,178.8,160,202,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,wperch,205.0,205,205,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,wtsuck,367.6,240,490,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,ylbull,191.5,161,232,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,13,950504,yperch,168.0,123,252,Blackstone R./Hamlet Ave.,Woonsocket,42.00288709,-71.49825056,,,,,,,
1,1,14,1050908,ambklmp,128.0,128,128,Peters River/Diamond Hill Road,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,1050908,crkchbskr,36.0,36,36,Peters River/Diamond Hill Road,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,1050908,gldshnr,35.0,35,35,Peters River/Diamond Hill Road,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,1050908,rdfnpick,92.0,92,92,Peters River/Diamond Hill Road,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,1050908,tssdtr,77.0,77,77,Peters River/Diamond Hill Road,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,1050908,wtsuck,162.0,162,162,Peters River/Diamond Hill Road,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,950717,ambklmp,149.5,111,175,Peters R./Diamond Hill Rd,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,950717,gldshnr,105.0,98,108,Peters R./Diamond Hill Rd,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,950717,rdfnpick,95.4,55,173,Peters R./Diamond Hill Rd,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,14,950717,wtsuck,68.5,34,114,Peters R./Diamond Hill Rd,Woonsocket,42.01531465,-71.49287964,,,,,,,
1,1,15,970916,blkndce,51.0,40,65,Blackstone R./Island Place,Woonsocket,41.99839619,-71.51534994,,,,,,,
