Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,,
2,2,2,930526,blgl,144.2,32,230,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,brbull,287.0,252,322,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,chnpick,319.4,268,370,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,crkchbskr,190.5,150,231,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,gldshnr,189.0,85,227,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,lmb,240.4,137,369,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,pmpknsd,172.9,115,211,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,930526,yperch,135.8,34,259,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,2,1070428,eel,~600,~600,~600,Wakefield Pond,Burrillville,41.96389,-71.79306,,,,,,,,
2,2,3,930602,blgl,118.3,48,180,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,930602,brbull,266.5,260,278,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,930602,chnpick,230.3,92,403,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,930602,gldshnr,201.0,201,201,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,930602,lmb,299.5,150,499,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,930602,pmpknsd,113.6,66,160,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,930602,yperch,167.1,63,303,Bowdish Res.,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1060419,blgl,-,-,-,Bowdish Res.,Gloucester,41.92222,-71.77222,,,,,,,,
2,2,3,1060419,chnpick,-,293,335,Bowdish Res.,Gloucester,41.92222,-71.77222,,,,,,,,
2,2,3,1060419,eel,593.0,593,593,Bowdish Res.,Gloucester,41.92222,-71.77222,,,,,,,,
2,2,3,1060419,lmb,-,230,462,Bowdish Res.,Gloucester,41.92222,-71.77222,,,,,,,,
2,2,3,1060419,pmpknsd,-,-,-,Bowdish Res.,Gloucester,41.92222,-71.77222,,,,,,,,
2,2,3,1060419,yperch,-,137,315,Bowdish Res.,Gloucester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,gldshnr,196.0,,,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,ylbull,276.0,,,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,blkcrp,275.0,,,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,pmpknsd,127.0,,,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,brbull,,291,346,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,chnpick,,167,466,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,blgl,,44,187,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,yperch,,82,274,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,3,1081027,lmb,,67,500,Bowdish Reservoir,Glocester,41.92222,-71.77222,,,,,,,,
2,2,4,930608,alewife,106.0,70,182,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,blgl,138.5,47,193,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,bndkilli,58.0,56,60,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,brbull,235.1,155,257,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,chnpick,380.0,335,425,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,gldshnr,166.5,113,220,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
2,2,4,930608,lmb,234.2,103,541,Beach Pond,Exeter,41.57704,-71.79001,,,,,,,,
