Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,,
7,0,5,1040907,pmpknsd,61.3,32,85,Fry B./Col. Rodman Hwy (Rt4),East Greenwich,41.63195,-71.48637,,,,,,,
7,0,5,1040907,wtsuck,86.4,32,133,Fry B./Col. Rodman Hwy (Rt4),East Greenwich,41.63195,-71.48637,,,,,,,
7,0,5,970828,brktrt,90.9,57,205,Fry Bk/Route 4,East Greenwich,41.63195,-71.48637,,,,,,,
7,0,5,970828,eel,272.5,240,305,Fry Bk/Route 4,East Greenwich,41.63195,-71.48637,,,,,,,
7,0,5,970828,wtsuck,71.6,34,115,Fry Bk/Route 4,East Greenwich,41.63195,-71.48637,,,,,,,
7,0,6,1040913,chnpick,181.5,125,220,Sandhill B./Woodlawn Rd.,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,1040913,eel,179.0,62,255,Sandhill B./Woodlawn Rd.,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,1040913,pmpknsd,118.0,111,123,Sandhill B./Woodlawn Rd.,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,1040913,swmpdtr,52.8,47,61,Sandhill B./Woodlawn Rd.,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,970829,chnpick,180.0,180,180,Sandhill Bk/Woodlawn Rd,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,970829,eel,192.8,90,293,Sandhill Bk/Woodlawn Rd,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,970829,pmpknsd,99.9,83,137,Sandhill Bk/Woodlawn Rd,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,6,970829,swmpdtr,47.0,47,47,Sandhill Bk/Woodlawn Rd,North Kingstown,41.62123,-71.45108,,,,,,,
7,0,7,970902,atlsalm,143.5,142,145,Scrabbletown bk/Pleasant Valley Rd,North Kingstown,41.59551,-71.49911,,,,,,,
7,0,7,970902,brktrt,91.0,55,166,Scrabbletown bk/Pleasant Valley Rd,North Kingstown,41.59551,-71.49911,,,,,,,
7,0,7,1040903,brktrt,94.3,40,220,Scrabbletown B./Pleasant Valley Rd.,North Kingstown,41.59551,-71.49911,,,,,,,
7,0,7,1040903,pmpknsd,57.0,57,57,Scrabbletown B./Pleasant Valley Rd.,North Kingstown,41.59551,-71.49911,,,,,,,
7,0,7,1110825,brktrt,77.2,54,127,Scrabbletown Brook/Pleasant Valley Road (Delemo Dr),North Kingstown,,,,,,,,,
7,0,7,1110825,eel,250.0,250,250,Scrabbletown Brook/Pleasant Valley Road (Delemo Dr),North Kingstown,,,,,,,,,
7,0,8,970903,brktrt,73.6,49,125,Tributary/ Hunt R./S. County Tr (Rt 2),East Greenwich,41.60433,-71.49583,,,,,,,
7,0,8,970903,eel,352.5,200,505,Tributary/ Hunt R./S. County Tr (Rt 2),East Greenwich,41.60433,-71.49583,,,,,,,
7,0,8,1040913,brktrt,133.9,25,192,Tributary/S. County Trl.,East Greenwich,41.60433,-71.49583,,,,,,,
7,0,8,1040913,chnpick,165.0,165,165,Tributary/S. County Trl.,East Greenwich,41.60433,-71.49583,,,,,,,
7,0,8,1040913,eel,300.0,300,300,Tributary/S. County Trl.,East Greenwich,41.60433,-71.49583,,,,,,,
7,0,8,1040913,rdfnpick,159.7,156,163,Tributary/S. County Trl.,East Greenwich,41.60433,-71.49583,,,,,,,
7,0,8,1110825,brktrt,81.0,54,176,Unnamed stream/South County Trail,East Greenwich,,,,,,,,,
7,0,8,1110825,eel,232.5,215,250,Unnamed stream/South County Trail,East Greenwich,,,,,,,,,
7,0,8,1110825,rdfnpick,126.0,100,152,Unnamed stream/South County Trail,East Greenwich,,,,,,,,,
7,0,8,1110825,swmpdtr,47.0,43,51,Unnamed stream/South County Trail,East Greenwich,,,,,,,,,
7,0,9,970905,atlsalm,149.4,121,171,Frenchtown Bk/Route 4&Davisville Rd,East Greenwich,41.62566,-71.48626,,,,,,,
